#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella stercorea	0	1	0	4	31	22	45	118	27	0	32	1	0	69	28	1	0	15	432	0	0	0	0	19	5	19	0	16	0	974	5	66	0	12	0	0	0	0	2	1	572	0	0	13	40	1	244	5	20	46	0	7	2	1	86	189	0	0	955	928	0	23	12	0	0	246	85	36	2	10	21	48	15	3	0	1	6	0	12	11	0	17	8	1	18	3	0	3	0	27	208
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	0	1	1	2	8	1204	61	863	129	0	29	0	1081	76	60	463	0	2	17	1	13	0	9	1648	112	39	0	82	0	111	7	1139	0	60	1	1	1	6	9	1	36	0	5558	10	21	1	128	408	46	268	0	127	0	0	404	115	0	24	230	178	0	566	100	1	15	1008	31	14	7	168	72	13	7	6	0	1	6	2	58	73	2	11	32	0	831	3	0	0	7	32	260
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	0	32	1	0	9	0	45	109	102	2	21	2	6	60	60	1	0	1	176	1	293	0	1	1	27	29	0	113	0	339	0	127	0	4	0	0	0	0	0	1	222	5	19	64	12	0	1	12	27	66	0	67	0	0	2348	6	0	0	491	378	0	52	12	0	3	274	14	4	2	59	292	8	22	0	0	1	10	2	7	65	0	6	230	0	9	18	0	10	0	18	119
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	11	1728	40	47	771	5	3361	670	9722	19	445	18	19	3157	22359	75	58	109	3592	194	20558	20	13	12	45850	207	30	12035	4	4997	9756	479	3	68991	14	6	12	75	2904	58	290	16	23	6806	7978	24	16994	192	4911	31674	4	177884	11	11	1484	41647	24	6	980	12751	1	156	2206	16	37	69492	7475	1284	14362	167123	87634	56	4290	171	28	83	2332	86	5738	12210	25	10164	3675	10	20	2948	14	12	12	2868	6162
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	0	0	0	3	0	159	7	69	0	2	0	4	31	55	8	0	106	117	131	8	0	0	4	3	55	0	38	0	165	2	18	62	33	0	0	0	2	0	82	86	0	4	38	21	1	29	5	2	61	0	149	0	0	82	84	0	1	416	293	0	9	138	0	1	81	23	33	0	231	797	18	7	6	0	0	15	0	170	60	0	14	1108	0	7	7	0	0	0	41	126
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii	1	26	2	14	273	3198	810	13010	572	4	2479	5	775	2380	83	122	3	23	1033	653	1225	0	2	4580	442	1395	3	214	1	3207	737	8900	309	168	1	3	0	18	13	419	1822	0	976	246	1119	20	595	799	605	504	0	451	0	7	1791	1654	0	4	6876	5268	0	3915	1340	0	12	1020	230	4047	640	1170	1153	999	137	81	1	32	212	8	263	235	0	528	2844	0	114	43	3	10	32	628	3359
k__Bacteria;p__Firmicutes;NA;NA;NA;NA;NA	40	90	302	1002	292	44	86	13	255	42	76	251	104	238	595	77	663	2160	2019	697	1631	11	1549	1627	50	335	384	1212	586	887	182	1260	336	205	212	929	17	896	53	784	1755	2052	130	297	465	150	148	573	33	2714	24	131	19	552	1687	181	1534	8750	58	1027	1178	43	947	520	199	332	1758	60	188	141	483	33	605	53	278	43	267	144	454	502	1757	122	546	234	121	10	1	913	247	633	386
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;NA	1044	76	1062	389	40	0	54	0	1	235	0	25	2	165	14	1636	1527	6	0	8	7	136	74	228	7	0	26	3	181	0	538	140	172	127	2	2	20	72	0	222	0	57	0	0	3	20	51	909	0	190	0	0	171	5	0	40	138	1	0	1	0	313	0	1	310	19	7	9	23	41	0	850	0	0	39	0	1	498	0	0	0	463	0	55	1	24	11	2	1	4703	30
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	1	0	603	0	0	2	76	0	1	2	0	1	5	18	0	1	3	39	0	0	118	488	11	0	0	3	26	0	0	0	2	0	0	1311	0	0	1	5	38	0	0	143	0	0	0	27	477	23	1	3271	0	0	208	1	19	2864	0	0	25	3	88	0	1	1	1	1123	0	0	0	1	14	101	0	0	1229	23	1	2998	0	1	53	0	8	2812	0	0	21	0	0	87	163
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	52611	2334	38045	15722	825	38	54	12	29	8551	1	677	2	6673	412	38955	80040	11	2	162	22	3655	422	9183	237	1	680	55	7664	2	13151	4665	7186	2755	54	42	1339	4577	10	7647	2	1391	4	27	55	662	492	34240	2	6119	8	11	2898	169	3	14	4882	18	43	4	2	9946	3	27	14123	133	156	117	272	1609	27	20312	4	17	126	0	38	18903	3	31	6	8189	0	240	9	28	27	7	48	149282	1743
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	216	276	117	2025	432	0	1220	0	3	3652	6	81	0	3604	1	22041	403	101	0	2	0	7	1254	45	0	0	3	3	14	0	2252	18	638	3	1	0	316	148	3	852	0	24	0	1	5	7	607	10234	0	14	15	0	841	4	0	1	11	0	0	0	0	67	0	0	1236	12	0	15	227	14	1	3224	0	9	119	1	0	55	0	0	2	6239	0	77	0	0	169	0	0	360	452
