#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella wadsworthensis	0	0	1	2	0	2	6413	0	8965	2	0	0	0	16	3	0	12	69	0	1	0	0	2	0	0	0	5	0	3	2	0	5	1	2	1	0	1	2	1	1	0	0	0	4106	0	3	14	47	0	0	0	0	0	1	3	0	1	2	2	0	0	0	0	0	1	3	5850	0	5	0	0	24366	2	952	0	0	1	15	2	0	0	3	1	0	0	191	3	0	4	387	15
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	0	0	0	0	0	0	0	0	1	0	0	0	0	7	795	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	0	1	1	2	0	2677	0	2	0	0	0	4	0	6	0	3	0	2	0	0	1316	0	1	0	0	0	0	3	1	0	1	2	316	0	2	0	1943	0	1	0	0	0	9	0	0	12	0	6	1524	2	0	0	0	2	0	32	59
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;NA;NA;NA;NA	120	41	135	1369	391	42	257	0	147	758	143	288	24	135	24	0	331	46	136	282	258	378	685	914	186	31	634	38	253	20	70	173	451	125	766	223	875	184	19	298	25	1368	26	29	5	748	2	21	56	225	1003	2	47	249	14	189	293	225	136	69	226	136	18	884	1386	137	0	21	52	12	4	195	3	3	52	50	12	41	63	36	506	6	31	88	13	0	260	76	6	41	148
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;NA;NA;NA	50	184	1093	6791	1120	439	928	1	610	3815	1645	3890	68	1255	153	4	1734	172	679	1029	1434	4992	2439	3511	837	231	2903	477	1019	113	24	781	1610	501	3723	2938	4326	2692	135	1200	123	4290	114	216	14	3335	42	93	279	709	4929	23	238	2861	61	825	3032	968	516	223	1478	500	55	3823	5437	474	1	230	32	5	74	814	16	9	515	108	64	11	206	110	1570	14	161	158	152	0	1221	641	43	196	771
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;NA;NA	99	17021	22678	20548	7768	11281	22415	7	13724	105769	43506	109507	237	36042	6696	88	122035	2338	2613	100154	10851	116879	7616	15393	72532	7115	14152	18167	4326	480	646	40	146704	2293	84302	76784	110806	2003	404	124615	3859	15970	579	5741	735	15465	102	903	982	18514	112769	584	1202	84539	1438	2224	85750	21716	34646	14242	3806	29	4203	31564	20936	2344	11	6438	1034	85	1857	20738	973	253	14953	3080	6308	79	5080	9743	5539	774	3643	890	4489	58	4353	15639	160	6520	21058
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii	1	1	251	965	711	8	5	0	6	109	42	25	1275	44	0	1	176	38	151	93	669	88	693	947	54	48	11338	1	388	64	0	0	123	231	94	71	120	56	555	126	224	123821	2767	6	3	1589	10	135	26	4	102	0	94	11	29	138	53	51	124	49	1012	0	2	2384	3250	407	0	2	2	0	4	5	4	2	5	1	103	4	4	20	622	0	39	93	138	0	137	56	14	46	119
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii	5	1	7	541	340	6	0	0	1	69	3	4	4	15	0	0	134	66	135	18	149	1	65	4010	49	23	1020	15	632	19	0	0	29	592	38	1	71	20	21	18	36	238	5	2	7	1289	7	19	50	13	80	0	191	3	25	37	115	17	116	50	619	0	1	443	2192	313	0	2	0	0	0	0	0	2	2	0	7	5	2	0	946	0	22	53	7	0	844	0	36	36	37
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;NA	21	0	3	21651	2248	7	1	1	2	1	0	0	2	4	0	1	40	1	6	2	47	0	15	8577	0	51	4615	0	2703	0	12	4	0	569	1	0	0	5	5	0	58	335	2	1	0	5557	11	24	3	0	0	2	443	0	48	8	1	1	1	1	1578	0	0	1203	1412	7	3	0	0	1	0	0	11	0	1	0	3	1	0	0	55	3	28	0	0	1	1906	0	68	41	82
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae	55	0	23	112699	5643	11	42	4	34	9	5	34	38	13	0	1	271	23	606	6	512	141	893	42409	1	254	3531	8	12284	34	19	4	7	1468	13	3	6	53	29	5	331	2468	70	6	3	3492	5	63	196	3	9	0	314	23	171	596	11	4	130	56	2083	2	2	6453	8323	286	3	0	7	2	8	66	83	0	2	0	19	6	1	0	759	0	104	166	1	1	2348	0	84	114	171
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei	50	5	55	108817	202994	23	15	42	71	6	13	4	12	271	0	19	217	20	138	114	210	4	67	28258	3	676	437764	1	8901	22	1099	46	2	1558	30	3	3	93	79	6	724	18707	18	84	38	475626	20	1795	19	7	1	5	37030	3	430	28	7	14	35	12	75578	2	0	4151	5484	33	0	35	454	14	3	15	51	2	2	1	70	31	16	28	2950	51	55	2	28	19	118046	2	3957	1867	3782
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	266	31599	69048	4043	3857	39813	86547	19	52538	397160	159507	324915	76	122973	13144	254	240459	8038	1444	120752	16968	412996	1175	943	193802	20884	1822	39409	428	290	1623	25	179376	790	315737	280308	415403	473	49	149484	3768	2679	70	20423	894	2073	83	2217	125	71729	412767	1533	268	259324	2152	209	317956	81240	35977	15215	573	18	5306	28452	1185	407	35	22931	2790	341	6716	78232	1314	1095	52946	12000	7809	172	19659	13899	551	1201	12718	204	16724	206	271	53820	32	15552	46870
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;NA	3	0	210	398	7	0	1	0	1	1	1	0	9	5	0	0	533	77	1189	47	1257	1	1793	88	0	7	84	3	180	72	2	0	68	386	0	3	1	2881	92	53	34	293	19	13	0	81	4	17	408	25	0	0	6	0	19	1072	0	1	17	16	329	0	3	2471	4266	616	0	10	0	2	0	0	0	0	1	0	3	12	18	0	2120	3	42	129	1	0	294	0	1	91	74
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes	8	14	816	3847	22	9	5	3	0	11	1	8	16	2	2	0	936	26	2637	2	2027	0	1102	758	11	5	221	4	90	53	0	4	3	163	13	8	22	293198	72	4	52	1061	48	2	0	159	6	30	194	0	19	1	10	15	3	216	12	3	0	17	167	2	0	404	1675	261	1	1357	2	2	1	0	0	0	1	0	61	13	33	0	1965	3	13	83	1	0	512	0	11	64	74
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca	7	22	649	3104	1148	26	18	12	41	82	12	26	1321	53	3	4	2837	9096	2884	25	5211	61	411343	2192	48	370	3030	32	938	7076	55	11	61	779	51	113	75	1552	235	34	1020	1607	1865	19	7	3351	11	589	612	10	78	16	267	8	1952	2621	44	570	168	293	46175	6	165	359703	432933	30336	38	6	34	14	3	10	0	51	40	30	914	93	26	6	1988	3	1299	28320	347	4	1294	41	30	6829	2617
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	9	6	25643	1076	794	12	128	17	114	138	10	30	32	60	3	35	796	1069	38223	275	1753	546	6102	1892	11	148	74	13	981	1122	7	7	468	33509	243	220	164	4654	8718	314	843	435	50	369	10	83	19	509	29415	31	230	0	9	15	60	74237	465	75	8	14	961	18	94	16388	9716	635	4	7	9	106	16	193	11	25	21	1	742	525	522	57	225467	8	1242	320	38	7	448	40	25	2404	2795
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter;s__[Enterobacter] lignolyticus	1	0	2	1278	9	30	2	0	1	64	3	0	3	9	0	0	168	10	39	27	578	2	53	870	19	4	80	2	222	1	2	38	44	82	58	42	81	25	12	44	17	335	4	1	2	74	6	3	1	0	70	1	3	0	4	4	118	17	36	19	95	17	0	148	506	42	0	4	0	0	0	0	3	2	2	0	7	2	0	0	376	0	4	7	8	0	100	0	1	9	22
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter;s__Pluralibacter gergoviae	9	1	2	553	9	18	0	0	0	162	8	3	5	18	0	1	38	5	14	0	89	12	97	290	57	7	7006	1	1408	10	2	5	0	38	88	9	266	3	19	1	53	490	3	1	2	8379	7	6	9	0	210	0	593	1	1	3	51	36	12	7	80	5	3	165	852	831	0	0	14	0	4	0	1	2	3	0	0	1	1	0	13	8	10	8	5	0	56	12	2	27	59
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	0	9	17	457	39	3	1	0	1	43	181	169	38	153	12	0	203	5	58	334	315	1557	149	423	71	7	1016	27	78	4	0	2	490	21	25	903	39	21	14	442	28	2854	75	2	12	884	16	10	28	11	44	2	60	126	11	66	291	7	172	80	230	3	0	426	608	74	0	48	2	1	0	0	2	2	1	1	6	1	4	15	504	3	4	8	17	0	213	136	7	18	59
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;NA	0	94	165	0	7	69	74	0	35	457	187	487	0	127	49	0	619	9	2	511	48	778	1	24	492	35	1	110	0	0	0	0	777	2	398	567	473	1	0	651	21	0	1	18	2	5	0	2	0	70	498	5	0	396	6	0	396	106	213	87	0	0	27	109	1	3	0	27	2	0	10	76	5	2	50	6	26	0	23	48	2	8	12	1	21	1	0	51	0	27	126
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella dysenteriae	3	726	608	45	122	248	144	1	76	2620	979	2562	1	740	257	1	4672	16	39	1987	188	3257	1	28	2222	207	59	789	54	11	10	0	2876	24	2248	1747	2841	0	0	2431	112	143	2	141	26	47	0	20	4	104	3034	14	9	1987	28	4	2456	605	1269	494	30	0	82	421	120	10	1	163	32	3	48	137	11	5	339	6	132	2	23	154	6	11	86	13	129	0	1	388	0	228	475
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	5	686	775	166	71	313	248	0	133	2304	1272	4208	0	1011	282	5	5896	24	62	6702	244	3272	12	56	3109	260	52	834	163	17	24	0	9624	21	1857	2066	2383	8	2	8321	251	170	0	150	48	65	2	26	4	135	2509	23	2	5141	61	4	2681	482	1977	858	7	0	275	1281	92	7	0	173	32	2	58	216	39	11	433	18	321	1	45	555	17	48	95	4	146	0	15	386	0	219	801
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia teleogrylli	0	1	119	1938	7	49	7	0	5	370	163	563	11	120	0	1	117	27	45	8	62	642	2542	38	1	25	245	0	13	36	5	0	2	21	392	382	436	62	2	7	6	60	19	25	0	264	3	7	9	6	494	2	18	379	12	357	301	119	2	4	340	0	0	1436	1304	64	0	32	9	1	3	8	7	3	55	1	4	0	0	0	90	0	18	219	14	1	49	71	0	73	89
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia liquefaciens	0	0	4	71	1	1	0	0	0	1	0	0	0	0	0	0	3	11	9	0	10	0	1	9	0	0	1	0	3	3	0	124	0	2	1	0	0	2	5955	0	3	15	1	0	0	0	1	18	0	0	2	0	0	0	1	0	0	4	5	3	1	64	0	3	29	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	9	22
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia marcescens	0	0	3	353	0	3	5	1	4	2	0	0	0	2	1	0	3	1	0	0	62	0	1	65	1	0	12	3	12	1	0	65771	0	1	1	2	0	14	4	1	0	80	0	2	0	3	6	3489	0	1	1	0	1	0	1	4	0	1	4	0	1	40585	0	22	18	10	0	0	9	0	2	0	1	0	4	1	9	19	2	0	4	0	68	0	0	0	6	2	0	173	59
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis	1	1	85	0	4	27	41	0	27	1391	156	63	0	100	1	0	32	7	0	60	15	1368	0	1	18	22	1	1	0	0	0	0	82	2	950	963	1596	44	2	82	2	2	0	18	0	0	1	5	29	137	1465	0	0	63	3	0	1316	277	0	1	4	2	6	1	26	0	0	20	0	2	3	30	5	5	40	14	3	0	34	15	0	6	5	1	53	0	0	401	1	5	22
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	1487	0	60	289	3	2	99	0	17	1	0	11	2	7	2	4	6	0	0	0	14	0	167	344	0	0	0	21	8	0	317	4	0	29	4	6	1	316	3	0	9	0	0	1	24	0	12	2	1	96	0	0	15	162	0	17	0	15	0	0	49	95	0	21	0	194	3	0	411	71	1	76	3	0	1	40	1	499	19	3	8	23	21	55	1	0	0	108	0	9	15
